村里代碼,村里,選舉人,里長政黨,投票所數量,平均
10017040-011,基隆市仁愛區福仁里,783,無,1,783
10017040-012,基隆市仁愛區誠仁里,974,無,1,974
10017040-013,基隆市仁愛區吉仁里,2588,無,2,1294
10017040-014,基隆市仁愛區育仁里,772,中國國民黨,1,772
10017040-015,基隆市仁愛區英仁里,1314,中國國民黨,2,657
10017040-016,基隆市仁愛區龍門里,778,無,2,389
10017040-018,基隆市仁愛區曲水里,830,中國國民黨,1,830
10017040-019,基隆市仁愛區崇文里,873,無,1,873
10017040-020,基隆市仁愛區文安里,867,無,1,867
10017040-021,基隆市仁愛區兆連里,705,中國國民黨,1,705
10017040-022,基隆市仁愛區獅球里,1010,中國國民黨,1,1010
10017040-023,基隆市仁愛區書院里,1069,中國國民黨,1,1069
10017040-024,基隆市仁愛區朝棟里,2786,中國國民黨,2,1393
10017040-029,基隆市仁愛區光華里,2449,中國國民黨,2,1225
10017040-025,基隆市仁愛區明德里,729,無,1,729
10017040-026,基隆市仁愛區同風里,552,中國國民黨,1,552
10017040-027,基隆市仁愛區文昌里,782,無,1,782
10017040-028,基隆市仁愛區新店里,595,中國國民黨,1,595
10017050-001,基隆市中山區新建里,772,中國國民黨,1,772
10017050-002,基隆市中山區安民里,1026,無,1,1026
10017050-003,基隆市中山區安平里,780,中國國民黨,1,780
10017050-004,基隆市中山區中山里,970,無,1,970
10017050-005,基隆市中山區民治里,796,無,1,796
10017050-006,基隆市中山區中興里,1270,無,1,1270
10017050-007,基隆市中山區仁正里,782,無,1,782
10017050-008,基隆市中山區健民里,1180,無,1,1180
10017050-009,基隆市中山區通化里,1028,無,1,1028
10017050-010,基隆市中山區居仁里,1359,無,1,1359
10017050-011,基隆市中山區通明里,1759,無,2,880
10017050-023,基隆市中山區和平里,456,中國國民黨,1,456
10017050-014,基隆市中山區仙洞里,602,中國國民黨,1,602
10017050-015,基隆市中山區太白里,859,無,1,859
10017050-012,基隆市中山區協和里,1562,民主進步黨,1,1562
10017050-013,基隆市中山區文化里,1252,無,1,1252
10017050-022,基隆市中山區德安里,3602,無,2,1801
10017050-020,基隆市中山區德和里,5264,無,3,1755
10017050-021,基隆市中山區中和里,5317,無,3,1772
10017050-024,基隆市中山區和慶里,5985,無,3,1995
10017050-019,基隆市中山區西康里,1590,無,1,1590
10017050-018,基隆市中山區西定里,915,無,1,915
10017050-017,基隆市中山區西華里,870,無,1,870
10017050-016,基隆市中山區西榮里,699,無,1,699
10017060-003,基隆市安樂區新西里,1359,無,1,1359
10017060-001,基隆市安樂區西川里,1195,無,1,1195
10017060-002,基隆市安樂區定國里,1009,中國國民黨,1,1009
10017060-004,基隆市安樂區定邦里,1058,中國國民黨,1,1058
10017060-005,基隆市安樂區慈仁里,906,無,1,906
10017060-006,基隆市安樂區干城里,2039,中國國民黨,2,1020
10017060-007,基隆市安樂區永康里,1938,中國國民黨,2,969
10017060-009,基隆市安樂區安和里,829,無,1,829
10017060-010,基隆市安樂區樂一里,567,中國國民黨,1,567
10017060-008,基隆市安樂區嘉仁里,3189,中國國民黨,2,1595
10017060-015,基隆市安樂區三民里,2639,中國國民黨,2,1320
10017060-025,基隆市安樂區壯觀里,3690,無,2,1845
10017060-016,基隆市安樂區四維里,4621,無,3,1540
10017060-017,基隆市安樂區五福里,3419,中國國民黨,2,1710
10017060-018,基隆市安樂區六合里,3827,無,2,1914
10017060-019,基隆市安樂區七賢里,2611,中國國民黨,2,1306
10017060-022,基隆市安樂區長樂里,3132,無,3,1044
10017060-020,基隆市安樂區鶯歌里,2988,中國國民黨,2,1494
10017060-024,基隆市安樂區鶯安里,2743,中國國民黨,2,1372
10017060-023,基隆市安樂區興寮里,4286,無,2,2143
10017060-011,基隆市安樂區外寮里,3677,無,2,1839
10017060-014,基隆市安樂區新崙里,3581,無,3,1194
10017060-021,基隆市安樂區武崙里,4156,無,3,1385
10017060-012,基隆市安樂區中崙里,1442,無,1,1442
10017060-013,基隆市安樂區內寮里,4984,無,4,1246
10017070-001,基隆市信義區仁壽里,1093,無,1,1093
10017070-002,基隆市信義區仁義里,1256,中國國民黨,1,1256
10017070-003,基隆市信義區義昭里,1115,中國國民黨,1,1115
10017070-004,基隆市信義區義幸里,2317,無,2,1159
10017070-005,基隆市信義區義民里,732,無,1,732
10017070-006,基隆市信義區義和里,1513,無,1,1513
10017070-007,基隆市信義區智慧里,704,中國國民黨,1,704
10017070-008,基隆市信義區智誠里,1597,無,2,799
10017070-009,基隆市信義區禮儀里,1558,中國國民黨,1,1558
10017070-010,基隆市信義區禮東里,1505,中國國民黨,1,1505
10017070-011,基隆市信義區信綠里,2152,無,2,1076
10017070-016,基隆市信義區東信里,3865,中國國民黨,3,1288
10017070-012,基隆市信義區東光里,1784,無,2,892
10017070-013,基隆市信義區東明里,3448,無,2,1724
10017070-014,基隆市信義區東安里,2751,無,2,1376
10017070-018,基隆市信義區孝賢里,3167,無,2,1584
10017070-020,基隆市信義區孝忠里,5995,無,3,1998
10017070-019,基隆市信義區孝德里,2408,無,2,1204
10017070-017,基隆市信義區孝深里,3126,中國國民黨,2,1563
10017070-015,基隆市信義區孝岡里,1177,無,1,1177
10018010-011,新竹市東區育賢里,1398,無,1,1398
10018010-017,新竹市東區親仁里,1594,中國國民黨,2,797
10018010-005,新竹市東區東門里,566,無,1,566
10018010-007,新竹市東區成功里,652,無,1,652
10018010-006,新竹市東區榮光里,314,無,1,314
10018010-012,新竹市東區中正里,554,中國國民黨,1,554
10018010-051,新竹市東區錦華里,1667,中國國民黨,2,834
10018010-018,新竹市東區文華里,4264,中國國民黨,3,1421
10018010-019,新竹市東區復中里,4065,中國國民黨,3,1355
10018010-050,新竹市東區復興里,4464,無,3,1488
10018010-020,新竹市東區三民里,4573,無,4,1143
10018010-021,新竹市東區東園里,4765,中國國民黨,4,1191
10018010-013,新竹市東區公園里,2918,中國國民黨,2,1459
10018010-048,新竹市東區建華里,2215,無,2,1108
10018010-027,新竹市東區東山里,3104,中國國民黨,3,1035
10018010-026,新竹市東區綠水里,5718,中國國民黨,5,1144
10018010-022,新竹市東區東勢里,2168,無,2,1084
10018010-023,新竹市東區光復里,2217,無,2,1109
10018010-038,新竹市東區前溪里,2700,無,2,1350
10018010-039,新竹市東區水源里,3207,無,3,1069
10018010-040,新竹市東區千甲里,1984,無,2,992
10018010-024,新竹市東區豐功里,4088,中國國民黨,3,1363
10018010-025,新竹市東區武功里,3734,中國國民黨,3,1245
10018010-036,新竹市東區軍功里,2687,無,3,896
10018010-035,新竹市東區立功里,948,中國國民黨,1,948
10018010-037,新竹市東區建功里,3177,中國國民黨,3,1059
10018010-033,新竹市東區光明里,2869,中國國民黨,3,956
10018010-042,新竹市東區龍山里,5332,無,4,1333
10018010-047,新竹市東區科園里,5947,無,5,1189
10018010-041,新竹市東區埔頂里,3240,無,3,1080
10018010-043,新竹市東區新莊里,5018,中國國民黨,4,1255
10018010-054,新竹市東區關新里,3137,無,3,1046
10018010-046,新竹市東區關東里,4329,無,3,1443
10018010-045,新竹市東區金山里,4727,中國國民黨,4,1182
10018010-044,新竹市東區仙水里,3963,中國國民黨,3,1321
10018010-032,新竹市東區仙宮里,1161,無,1,1161
10018010-004,新竹市東區關帝里,528,無,1,528
10018010-001,新竹市東區南門里,697,無,1,697
10018010-003,新竹市東區南市里,873,無,1,873
10018010-002,新竹市東區福德里,1377,無,1,1377
10018010-016,新竹市東區振興里,5286,無,4,1322
10018010-029,新竹市東區新興里,2944,無,3,981
10018010-010,新竹市東區寺前里,716,無,1,716
10018010-009,新竹市東區竹蓮里,738,無,1,738
10018010-008,新竹市東區下竹里,507,無,1,507
10018010-014,新竹市東區頂竹里,2873,無,3,958
10018010-015,新竹市東區南大里,1404,無,2,702
10018010-049,新竹市東區新光里,3324,無,3,1108
10018010-028,新竹市東區光鎮里,3239,無,3,1080
10018010-031,新竹市東區高峰里,5511,無,4,1378
10018010-052,新竹市東區湖濱里,3428,無,3,1143
10018010-030,新竹市東區柴橋里,4653,中國國民黨,4,1163
10018010-053,新竹市東區明湖里,4428,中國國民黨,3,1476
10018020-001,新竹市北區西門里,517,無,1,517
10018020-003,新竹市北區潛園里,748,無,1,748
10018020-006,新竹市北區石坊里,516,無,1,516
10018020-002,新竹市北區仁德里,710,無,1,710
10018020-005,新竹市北區崇禮里,1145,無,1,1145
10018020-007,新竹市北區興南里,1371,無,1,1371
10018020-031,新竹市北區育英里,3500,無,3,1167
10018020-044,新竹市北區台溪里,1486,無,1,1486
10018020-032,新竹市北區曲溪里,5013,無,5,1003
10018020-033,新竹市北區西雅里,2820,無,2,1410
10018020-030,新竹市北區客雅里,1712,無,2,856
10018020-045,新竹市北區中雅里,2980,中國國民黨,2,1490
10018020-034,新竹市北區南勢里,3751,無,4,938
10018020-010,新竹市北區大同里,753,無,1,753
10018020-011,新竹市北區中山里,587,無,1,587
10018020-009,新竹市北區中興里,534,無,1,534
10018020-013,新竹市北區新民里,1471,無,1,1471
10018020-012,新竹市北區長和里,1306,無,1,1306
10018020-008,新竹市北區北門里,904,無,1,904
10018020-014,新竹市北區民富里,4523,無,4,1131
10018020-037,新竹市北區磐石里,5042,無,4,1261
10018020-038,新竹市北區新雅里,4310,無,4,1078
10018020-016,新竹市北區文雅里,3610,無,3,1203
10018020-015,新竹市北區水田里,2772,中國國民黨,2,1386
10018020-017,新竹市北區光田里,2092,無,2,1046
10018020-039,新竹市北區光華里,3922,中國國民黨,3,1307
10018020-040,新竹市北區金華里,4583,無,4,1146
10018020-021,新竹市北區湳雅里,2555,無,2,1278
10018020-043,新竹市北區金雅里,2066,無,2,1033
10018020-042,新竹市北區湳中里,5937,無,4,1484
10018020-022,新竹市北區舊社里,5574,無,4,1394
10018020-041,新竹市北區金竹里,5280,中國國民黨,4,1320
10018020-023,新竹市北區武陵里,4540,中國國民黨,4,1135
10018020-019,新竹市北區福林里,3621,無,3,1207
10018020-036,新竹市北區境福里,4533,無,4,1133
10018020-018,新竹市北區士林里,1536,無,2,768
10018020-020,新竹市北區古賢里,862,無,1,862
10018020-024,新竹市北區南寮里,5291,中國國民黨,4,1323
10018020-026,新竹市北區康樂里,2384,無,2,1192
10018020-028,新竹市北區中寮里,3062,無,3,1021
10018020-029,新竹市北區海濱里,3283,無,3,1094
10018020-027,新竹市北區港北里,1463,無,1,1463
10018020-025,新竹市北區舊港里,571,中國國民黨,1,571
10018030-009,新竹市香山區頂埔里,4695,無,4,1174
10018030-024,新竹市香山區頂福里,3832,無,3,1277
10018030-007,新竹市香山區中埔里,2790,無,2,1395
10018030-008,新竹市香山區牛埔里,3745,無,3,1248
10018030-006,新竹市香山區埔前里,3273,無,3,1091
10018030-005,新竹市香山區樹下里,2060,無,2,1030
10018030-004,新竹市香山區浸水里,2174,無,2,1087
10018030-003,新竹市香山區虎林里,2145,無,2,1073
10018030-002,新竹市香山區虎山里,5071,中國國民黨,5,1014
10018030-001,新竹市香山區港南里,2326,無,2,1163
10018030-010,新竹市香山區東香里,3516,無,4,879
10018030-011,新竹市香山區香村里,3000,無,2,1500
10018030-012,新竹市香山區香山里,3898,無,3,1299
10018030-013,新竹市香山區大庄里,2618,無,2,1309
10018030-014,新竹市香山區美山里,1099,無,1,1099
10018030-015,新竹市香山區朝山里,1922,無,2,961
10018030-016,新竹市香山區海山里,2147,無,2,1074
10018030-022,新竹市香山區鹽水里,1339,無,1,1339
10018030-021,新竹市香山區內湖里,4071,無,3,1357
10018030-023,新竹市香山區南港里,810,無,1,810
10018030-020,新竹市香山區中隘里,1663,無,2,832
10018030-019,新竹市香山區南隘里,756,無,1,756
10018030-018,新竹市香山區大湖里,825,中國國民黨,1,825
10018030-017,新竹市香山區茄苳里,870,無,1,870
10020010-044,嘉義市東區短竹里,2151,中國國民黨,2,1076
10020010-065,嘉義市東區蘭潭里,2005,無,2,1003
10020010-038,嘉義市東區東川里,1723,無,2,862
10020010-042,嘉義市東區鹿寮里,987,中國國民黨,1,987
10020010-041,嘉義市東區盧厝里,1618,中國國民黨,1,1618
10020010-066,嘉義市東區文雅里,3355,無,2,1678
10020010-037,嘉義市東區王田里,2292,無,2,1146
10020010-043,嘉義市東區長竹里,2653,無,2,1327
10020010-036,嘉義市東區後庄里,3764,無,3,1255
10020010-035,嘉義市東區新店里,4002,無,3,1334
10020010-034,嘉義市東區圳頭里,4024,無,4,1006
10020010-061,嘉義市東區中山里,1813,中國國民黨,2,907
10020010-039,嘉義市東區太平里,3956,中國國民黨,3,1319
10020010-060,嘉義市東區東興里,1849,中國國民黨,2,925
10020010-059,嘉義市東區華南里,1958,無,2,979
10020010-062,嘉義市東區中央里,2166,無,2,1083
10020010-058,嘉義市東區朝陽里,2030,無,2,1015
10020010-057,嘉義市東區民族里,1808,中國國民黨,2,904
10020010-056,嘉義市東區過溝里,2114,中國國民黨,2,1057
10020010-045,嘉義市東區新開里,1972,無,2,986
10020010-046,嘉義市東區宣信里,1380,無,1,1380
10020010-047,嘉義市東區興南里,1620,無,1,1620
10020010-048,嘉義市東區豐年里,1270,中國國民黨,1,1270
10020010-049,嘉義市東區芳草里,3216,中國國民黨,2,1608
10020010-050,嘉義市東區芳安里,2068,無,2,1034
10020010-051,嘉義市東區頂寮里,2416,中國國民黨,2,1208
10020010-052,嘉義市東區安寮里,2624,中國國民黨,2,1312
10020010-067,嘉義市東區安業里,1851,中國國民黨,2,926
10020010-054,嘉義市東區興村里,3691,無,3,1230
10020010-053,嘉義市東區興安里,2302,無,2,1151
10020010-055,嘉義市東區興仁里,3559,無,3,1186
10020010-064,嘉義市東區北門里,2210,無,2,1105
10020010-063,嘉義市東區林森里,2362,中國國民黨,2,1181
10020010-004,嘉義市東區中庄里,3062,無,2,1531
10020010-005,嘉義市東區頂庄里,2075,中國國民黨,2,1038
10020010-068,嘉義市東區義教里,2717,無,2,1359
10020010-003,嘉義市東區仁義里,2717,無,2,1359
10020010-002,嘉義市東區後湖里,3215,中國國民黨,2,1608
10020010-001,嘉義市東區荖藤里,3801,中國國民黨,3,1267
10020020-031,嘉義市西區書院里,1926,無,2,963
10020020-056,嘉義市西區永和里,1835,無,2,918
10020020-057,嘉義市西區新富里,1685,無,1,1685
10020020-058,嘉義市西區文化里,2219,中國國民黨,2,1110
10020020-059,嘉義市西區西榮里,2224,無,2,1112
10020020-061,嘉義市西區番社里,1463,無,1,1463
10020020-060,嘉義市西區國華里,1406,無,1,1406
10020020-015,嘉義市西區大溪里,1955,無,2,978
10020020-018,嘉義市西區磚磘里,3165,無,2,1583
10020020-016,嘉義市西區福全里,3898,無,3,1299
10020020-065,嘉義市西區福安里,3872,無,3,1291
10020020-022,嘉義市西區新西里,2044,無,2,1022
10020020-019,嘉義市西區港坪里,2986,無,2,1493
10020020-020,嘉義市西區頭港里,1584,無,2,792
10020020-017,嘉義市西區西平里,2820,無,2,1410
10020020-021,嘉義市西區劉厝里,6056,民主進步黨,4,1514
10020020-055,嘉義市西區自強里,1507,無,1,1507
10020020-050,嘉義市西區美源里,3528,無,3,1176
10020020-049,嘉義市西區湖內里,4197,中國國民黨,3,1399
10020020-066,嘉義市西區獅子里,2588,無,2,1294
10020020-067,嘉義市西區紅瓦里,1499,民主進步黨,1,1499
10020020-053,嘉義市西區光路里,4828,中國國民黨,4,1207
10020020-048,嘉義市西區福民里,5140,無,4,1285
10020020-047,嘉義市西區車店里,5393,無,4,1348
10020020-046,嘉義市西區垂楊里,1878,無,2,939
10020020-045,嘉義市西區培元里,1578,無,2,789
10020020-051,嘉義市西區育英里,1807,無,2,904
10020020-052,嘉義市西區致遠里,1650,中國國民黨,1,1650
10020020-054,嘉義市西區翠岱里,1347,中國國民黨,2,674
10020020-062,嘉義市西區導明里,1608,無,2,804
10020020-003,嘉義市西區北榮里,2129,無,2,1065
10020020-063,嘉義市西區慶安里,1595,無,2,798
10020020-001,嘉義市西區香湖里,768,無,1,768
10020020-005,嘉義市西區重興里,1955,無,2,978
10020020-064,嘉義市西區後驛里,2117,無,2,1059
10020020-002,嘉義市西區湖邊里,2014,中國國民黨,2,1007
10020020-009,嘉義市西區竹圍里,3955,無,3,1318
10020020-069,嘉義市西區保生里,3920,無,3,1307
10020020-011,嘉義市西區保安里,2979,無,2,1490
10020020-070,嘉義市西區北新里,990,無,1,990
10020020-010,嘉義市西區新厝里,3857,無,3,1286
10020020-068,嘉義市西區保福里,3337,無,2,1669
10020020-014,嘉義市西區竹村里,1092,無,1,1092
10020020-012,嘉義市西區北湖里,2614,無,2,1307
10020020-013,嘉義市西區下埤里,1478,無,1,1478
63000010-010,臺北市松山區精忠里,3586,中國國民黨,3,1195
63000010-011,臺北市松山區東光里,6241,中國國民黨,5,1248
63000010-012,臺北市松山區龍田里,8305,中國國民黨,6,1384
63000010-013,臺北市松山區東昌里,2186,中國國民黨,2,1093
63000010-014,臺北市松山區東勢里,3718,無,3,1239
63000010-015,臺北市松山區中華里,5159,中國國民黨,3,1720
63000010-016,臺北市松山區民有里,7514,民主進步黨,6,1252
63000010-017,臺北市松山區民福里,5633,中國國民黨,4,1408
63000010-035,臺北市松山區松基里,3145,無,2,1573
63000010-002,臺北市松山區莊敬里,4682,中國國民黨,3,1561
63000010-003,臺北市松山區東榮里,6584,無,5,1317
63000010-005,臺北市松山區新益里,4058,中國國民黨,3,1353
63000010-007,臺北市松山區新東里,4188,中國國民黨,3,1396
63000010-009,臺北市松山區介壽里,3659,無,3,1220
63000010-004,臺北市松山區三民里,5849,中國國民黨,4,1462
63000010-006,臺北市松山區富錦里,4426,中國國民黨,3,1475
63000010-008,臺北市松山區富泰里,3967,中國國民黨,3,1322
63000010-021,臺北市松山區自強里,8205,中國國民黨,5,1641
63000010-020,臺北市松山區鵬程里,4764,中國國民黨,3,1588
63000010-019,臺北市松山區安平里,7265,無,5,1453
63000010-018,臺北市松山區慈祐里,6919,無,4,1730
63000010-022,臺北市松山區吉祥里,7252,中國國民黨,5,1450
63000010-024,臺北市松山區新聚里,6838,中國國民黨,4,1710
63000010-025,臺北市松山區復盛里,5507,中國國民黨,3,1836
63000010-026,臺北市松山區中正里,7655,無,5,1531
63000010-027,臺北市松山區中崙里,3371,中國國民黨,2,1686
63000010-028,臺北市松山區美仁里,2843,中國國民黨,2,1422
63000010-029,臺北市松山區吉仁里,3300,民主進步黨,2,1650
63000010-030,臺北市松山區敦化里,5711,無,4,1428
63000010-031,臺北市松山區復源里,2648,中國國民黨,2,1324
63000010-032,臺北市松山區復建里,3673,中國國民黨,3,1224
63000010-033,臺北市松山區復勢里,5171,中國國民黨,4,1293
63000010-034,臺北市松山區福成里,2234,中國國民黨,2,1117
63000020-001,臺北市信義區西村里,5226,中國國民黨,3,1742
63000020-002,臺北市信義區正和里,3935,中國國民黨,3,1312
63000020-003,臺北市信義區興隆里,2478,中國國民黨,2,1239
63000020-004,臺北市信義區中興里,2968,無,2,1484
63000020-005,臺北市信義區新仁里,2943,無,2,1472
63000020-006,臺北市信義區興雅里,5036,中國國民黨,4,1259
63000020-007,臺北市信義區敦厚里,4543,中國國民黨,3,1514
63000020-008,臺北市信義區廣居里,6626,中國國民黨,5,1325
63000020-009,臺北市信義區安康里,8441,無,7,1206
63000020-010,臺北市信義區六藝里,3154,中國國民黨,2,1577
63000020-011,臺北市信義區雅祥里,4268,中國國民黨,3,1423
63000020-012,臺北市信義區五常里,3269,中國國民黨,2,1635
63000020-013,臺北市信義區五全里,4417,民主進步黨,3,1472
63000020-014,臺北市信義區永吉里,3544,中國國民黨,3,1181
63000020-015,臺北市信義區長春里,3698,民主進步黨,3,1233
63000020-016,臺北市信義區四育里,4972,中國國民黨,4,1243
63000020-017,臺北市信義區四維里,4759,中國國民黨,4,1190
63000020-018,臺北市信義區永春里,4304,民主進步黨,4,1076
63000020-019,臺北市信義區富台里,3710,中國國民黨,3,1237
63000020-020,臺北市信義區國業里,6239,中國國民黨,5,1248
63000020-021,臺北市信義區松隆里,2008,中國國民黨,2,1004
63000020-022,臺北市信義區松友里,5706,無,4,1427
63000020-023,臺北市信義區松光里,4367,無,3,1456
63000020-024,臺北市信義區中坡里,3932,中國國民黨,4,983
63000020-025,臺北市信義區中行里,6999,無,5,1400
63000020-026,臺北市信義區大道里,5419,民主進步黨,4,1355
63000020-027,臺北市信義區大仁里,3573,無,3,1191
63000020-028,臺北市信義區景新里,4386,中國國民黨,3,1462
63000020-029,臺北市信義區惠安里,5759,中國國民黨,4,1440
63000020-030,臺北市信義區三張里,7786,中國國民黨,6,1298
63000020-031,臺北市信義區三犁里,4539,無,3,1513
63000020-032,臺北市信義區六合里,6022,中國國民黨,4,1506
63000020-033,臺北市信義區泰和里,6883,中國國民黨,5,1377
63000020-034,臺北市信義區景聯里,4061,中國國民黨,3,1354
63000020-035,臺北市信義區景勤里,3597,中國國民黨,3,1199
63000020-036,臺北市信義區雙和里,6182,中國國民黨,4,1546
63000020-037,臺北市信義區嘉興里,2855,中國國民黨,2,1428
63000020-038,臺北市信義區黎順里,3712,無,3,1237
63000020-039,臺北市信義區黎平里,6178,無,4,1545
63000020-040,臺北市信義區黎忠里,4256,無,3,1419
63000020-041,臺北市信義區黎安里,1937,中國國民黨,2,969
63000030-001,臺北市大安區德安里,4780,中國國民黨,4,1195
63000030-002,臺北市大安區仁慈里,4249,中國國民黨,3,1416
63000030-003,臺北市大安區和安里,5521,中國國民黨,4,1380
63000030-004,臺北市大安區民炤里,6705,無,5,1341
63000030-005,臺北市大安區仁愛里,4529,中國國民黨,4,1132
63000030-006,臺北市大安區義村里,5236,中國國民黨,4,1309
63000030-007,臺北市大安區民輝里,5926,無,4,1482
63000030-008,臺北市大安區昌隆里,2716,中國國民黨,2,1358
63000030-009,臺北市大安區誠安里,3675,無,3,1225
63000030-010,臺北市大安區光武里,6566,中國國民黨,5,1313
63000030-011,臺北市大安區龍坡里,4744,中國國民黨,4,1186
63000030-012,臺北市大安區龍泉里,3940,無,3,1313
63000030-013,臺北市大安區古風里,3558,中國國民黨,3,1186
63000030-014,臺北市大安區古莊里,5863,中國國民黨,4,1466
63000030-015,臺北市大安區龍安里,6560,中國國民黨,4,1640
63000030-016,臺北市大安區錦安里,4771,中國國民黨,4,1193
63000030-017,臺北市大安區福住里,5010,無,4,1253
63000030-018,臺北市大安區永康里,3023,中國國民黨,2,1512
63000030-019,臺北市大安區光明里,2786,中國國民黨,2,1393
63000030-020,臺北市大安區錦泰里,2841,無,2,1421
63000030-021,臺北市大安區錦華里,4467,中國國民黨,3,1489
63000030-022,臺北市大安區龍圖里,5742,無,4,1436
63000030-023,臺北市大安區新龍里,5582,無,4,1396
63000030-026,臺北市大安區龍陣里,3086,中國國民黨,2,1543
63000030-027,臺北市大安區龍雲里,4147,中國國民黨,3,1382
63000030-028,臺北市大安區龍生里,5415,中國國民黨,4,1354
63000030-029,臺北市大安區住安里,4518,中國國民黨,3,1506
63000030-030,臺北市大安區義安里,4583,中國國民黨,4,1146
63000030-031,臺北市大安區通化里,5333,中國國民黨,4,1333
63000030-032,臺北市大安區通安里,4835,中國國民黨,4,1209
63000030-033,臺北市大安區臨江里,3605,無,3,1202
63000030-034,臺北市大安區法治里,3880,中國國民黨,3,1293
63000030-035,臺北市大安區全安里,3803,中國國民黨,3,1268
63000030-036,臺北市大安區群賢里,5118,中國國民黨,4,1280
63000030-037,臺北市大安區群英里,6113,中國國民黨,4,1528
63000030-038,臺北市大安區虎嘯里,3250,無,3,1083
63000030-039,臺北市大安區臥龍里,1626,中國國民黨,1,1626
63000030-040,臺北市大安區龍淵里,7419,中國國民黨,5,1484
63000030-041,臺北市大安區龍門里,3507,中國國民黨,3,1169
63000030-043,臺北市大安區大學里,7090,中國國民黨,5,1418
63000030-044,臺北市大安區芳和里,5012,中國國民黨,4,1253
63000030-046,臺北市大安區黎元里,4778,中國國民黨,4,1195
63000030-047,臺北市大安區黎孝里,6684,中國國民黨,5,1337
63000030-048,臺北市大安區黎和里,4257,中國國民黨,3,1419
63000030-049,臺北市大安區建安里,4212,中國國民黨,3,1404
63000030-050,臺北市大安區建倫里,5224,中國國民黨,4,1306
63000030-051,臺北市大安區敦安里,5168,無,4,1292
63000030-052,臺北市大安區正聲里,4099,無,3,1366
63000030-053,臺北市大安區敦煌里,5028,中國國民黨,4,1257
63000030-054,臺北市大安區華聲里,3612,中國國民黨,3,1204
63000030-055,臺北市大安區車層里,5357,無,4,1339
63000030-056,臺北市大安區光信里,6516,無,5,1303
63000030-057,臺北市大安區學府里,2436,中國國民黨,3,812
63000040-001,臺北市中山區正守里,2790,無,2,1395
63000040-002,臺北市中山區正義里,4574,無,3,1525
63000040-003,臺北市中山區正得里,3302,中國國民黨,2,1651
63000040-004,臺北市中山區民安里,4062,無,3,1354
63000040-005,臺北市中山區康樂里,2375,無,2,1188
63000040-006,臺北市中山區中山里,5685,無,4,1421
63000040-007,臺北市中山區聚盛里,3720,中國國民黨,3,1240
63000040-008,臺北市中山區集英里,5929,民主進步黨,4,1482
63000040-009,臺北市中山區聚葉里,3440,無,2,1720
63000040-012,臺北市中山區圓山里,3705,中國國民黨,3,1235
63000040-011,臺北市中山區晴光里,4671,無,3,1557
63000040-010,臺北市中山區恆安里,4158,無,3,1386
63000040-019,臺北市中山區新庄里,4374,無,3,1458
63000040-013,臺北市中山區劍潭里,3220,中國國民黨,2,1610
63000040-014,臺北市中山區大直里,7840,無,5,1568
63000040-015,臺北市中山區成功里,5298,中國國民黨,4,1325
63000040-016,臺北市中山區永安里,7674,無,5,1535
63000040-041,臺北市中山區金泰里,5954,中國國民黨,4,1489
63000040-042,臺北市中山區北安里,2305,中國國民黨,2,1153
63000040-018,臺北市中山區新喜里,4632,民主進步黨,3,1544
63000040-020,臺北市中山區新福里,4416,無,3,1472
63000040-021,臺北市中山區松江里,5617,民主進步黨,4,1404
63000040-022,臺北市中山區新生里,4354,中國國民黨,3,1451
63000040-023,臺北市中山區中庄里,4524,民主進步黨,3,1508
63000040-017,臺北市中山區大佳里,932,民主進步黨,1,932
63000040-024,臺北市中山區行政里,6847,無,3,2282
63000040-025,臺北市中山區行仁里,7059,台灣團結聯盟,5,1412
63000040-026,臺北市中山區行孝里,3556,民主進步黨,3,1185
63000040-027,臺北市中山區下埤里,6584,民主進步黨,5,1317
63000040-028,臺北市中山區江寧里,5924,無,4,1481
63000040-029,臺北市中山區江山里,6516,中國國民黨,4,1629
63000040-030,臺北市中山區中吉里,4692,民主進步黨,3,1564
63000040-031,臺北市中山區中原里,4350,民主進步黨,3,1450
63000040-032,臺北市中山區興亞里,4598,中國國民黨,3,1533
63000040-033,臺北市中山區中央里,3027,中國國民黨,2,1514
63000040-034,臺北市中山區朱馥里,5075,無,3,1692
63000040-035,臺北市中山區龍洲里,4415,中國國民黨,3,1472
63000040-036,臺北市中山區朱園里,3971,民主進步黨,3,1324
63000040-037,臺北市中山區埤頭里,2988,民主進步黨,2,1494
63000040-038,臺北市中山區朱崙里,2474,中國國民黨,2,1237
63000040-039,臺北市中山區力行里,5176,無,4,1294
63000040-040,臺北市中山區復華里,3947,中國國民黨,3,1316
63000050-011,臺北市中正區永功里,5243,中國國民黨,4,1311
63000050-012,臺北市中正區永昌里,4482,中國國民黨,3,1494
63000050-013,臺北市中正區龍興里,3168,無,2,1584
63000050-014,臺北市中正區忠勤里,5900,中國國民黨,4,1475
63000050-015,臺北市中正區廈安里,3426,中國國民黨,3,1142
63000050-016,臺北市中正區愛國里,2620,中國國民黨,2,1310
63000050-017,臺北市中正區南門里,2207,中國國民黨,2,1104
63000050-018,臺北市中正區龍光里,2755,中國國民黨,2,1378
63000050-019,臺北市中正區南福里,8129,無,5,1626
63000050-020,臺北市中正區龍福里,5946,無,3,1982
63000050-021,臺北市中正區新營里,6962,無,5,1392
63000050-022,臺北市中正區建國里,1192,無,1,1192
